Assignment_ID,Assignment_Name,Assignment_Link,Remote_Testing_Support,Adaptive_IRT_Support,Test_Type,Approximate_Completion_Time,Job_Levels
1,Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,True,True,"C, P, A, B",49.0,"Mid-Professional,"
2,Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,True,True,"A, K, P",36.0,"Entry-Level,"
3,Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,True,True,"A, B, P, S",51.0,"Front Line Manager, Manager, Supervisor,"
4,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"B, P",30.0,"General Population, Graduate, Entry-Level,"
5,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"B, P",20.0,"Entry-Level, General Population, Graduate,"
6,Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"A, B, K, P",35.0,"Entry-Level,"
7,Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"A, B, P",45.0,"Entry-Level,"
8,Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"A, B, P, S",45.0,"Front Line Manager, Manager, Supervisor,"
9,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"B, P, S, A",43.0,"Entry-Level,"
10,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"P, S, K, B, A",49.0,"Entry-Level,"
11,Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"A, B, P",50.0,"Front Line Manager, Manager, Supervisor,"
12,Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"B, A, P",28.0,"Entry-Level,"
13,Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,True,True,"P, S, A, B",48.0,"Manager,"
14,Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,True,False,"A, B, C, P, S",41.0,"Entry-Level,"
15,Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,True,False,"S, B, C, P",31.0,"Entry-Level,"
16,Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,True,True,"A, B, P, S",50.0,"Manager, Supervisor, Front Line Manager,"
17,Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,True,False,"P, B, C, A, S",41.0,"Entry-Level,"
18,Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,True,False,"S, B, C, P",31.0,"Entry-Level,"
19,Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,True,True,"A, B, P, S",45.0,"Front Line Manager, Professional Individual Contributor, Supervisor,"
20,Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,True,False,"A, B, P, S",39.0,"Entry-Level,"
21,Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,True,True,"A, B, P",42.0,"Entry-Level,"
22,Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,True,True,"A, B, P",42.0,"Entry-Level,"
23,Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,True,True,"A, B, P",44.0,"Entry-Level,"
24,Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,True,True,"A, B, P",69.0,"Director,"
25,District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,True,True,"A, B, P",65.0,"Manager,"
26,Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,True,False,"B, P, A",18.0,"Entry-Level,"
27,Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,True,False,"A, B, P",18.0,"Entry-Level,"
28,Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,True,False,"C, P",19.0,"Entry-Level,"
29,Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,True,False,"C, P",19.0,"Entry-Level,"
30,Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,True,False,"C, P",19.0,"Entry-Level,"
31,Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,True,False,"B, C, P",20.0,"Entry-Level,"
32,Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,True,False,"P, B, C",20.0,"Entry-Level,"
33,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,True,False,"C, P, B",20.0,"Entry-Level,"
34,Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,True,True,"S, A, B, P",50.0,"Supervisor, Front Line Manager, Manager,"
35,Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,True,True,"A, B, P",74.0,"Executive,"
36,Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,True,False,"A, B, P",35.0,"Mid-Professional, Professional Individual Contributor,"
37,Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,True,False,"A, B, P",44.0,"Professional Individual Contributor,"
38,Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,True,True,"A, B, P",50.0,"Entry-Level,"
39,Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,True,True,"A, B, P, S",50.0,"Entry-Level,"
40,Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,True,True,"S, A, B, K, P",55.0,"Front Line Manager, Manager, Supervisor,"
41,General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,True,False,B,19.0,"Entry-Level,"
42,General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,True,False,B,19.0,"Entry-Level,"
43,General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,True,False,B,19.0,"Entry-Level,"
44,General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,True,False,"B, K",24.0,"General Population, Entry-Level,"
