Assignment_ID,Assignment_Name,Assignment_Link,Remote_Testing_Support,Adaptive_IRT_Support,Test_Type,Approximate_Completion_Time,Job_Levels
1,Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,True,True,"C, P, A, B",49,"Mid-Professional,"
2,Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,True,True,"A, K, P",36,"Entry-Level,"
3,Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,True,True,"A, B, P, S",51,"Front Line Manager, Manager, Supervisor,"
4,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"B, P",30,"General Population, Graduate, Entry-Level,"
5,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"B, P",20,"Entry-Level, General Population, Graduate,"
6,Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"A, B, K, P",35,"Entry-Level,"
7,Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"A, B, P",45,"Entry-Level,"
8,Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"A, B, P, S",45,"Front Line Manager, Manager, Supervisor,"
9,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"B, P, S, A",43,"Entry-Level,"
10,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"P, S, K, B, A",49,"Entry-Level,"
11,Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,True,False,"A, B, P",50,"Front Line Manager, Manager, Supervisor,"
12,Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,True,True,"B, A, P",28,"Entry-Level,"
13,Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,True,True,"P, S, A, B",48,"Manager,"
14,Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,True,False,"A, B, C, P, S",41,"Entry-Level,"
15,Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,True,False,"S, B, C, P",31,"Entry-Level,"
16,Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,True,True,"A, B, P, S",50,"Manager, Supervisor, Front Line Manager,"
17,Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,True,False,"P, B, C, A, S",41,"Entry-Level,"
